,Город,Регион,Федеральный округ,lat,lng
5,Агрыз,Татарстан,Приволжский,"56,526318","52,995266"
6,Адыгейск,Адыгея,Южный,"44,884856","39,190567"
13,Алатырь,Чувашия,Приволжский,"54,839816","46,572195"
24,Анадырь,Чукотский АО,Дальневосточный,"64,733115","177,508924"
30,Апатиты,Мурманская область,Северо-Западный,"67,568041","33,407115"
54,Бавлы,Татарстан,Приволжский,"54,406333","53,245896"
69,Барыш,Ульяновская область,Приволжский,"53,653468","47,118029"
88,Белый,Тверская область,Центральный,"55,83385","32,938805"
103,Благодарный,Ставропольский край,Северо-Кавказский,"45,095649","43,440021"
124,Бронницы,Московская область,Центральный,"55,425471","38,264108"
147,ВерхняяПышма,Свердловская область,Уральский,"53,876143","59,216953"
180,Вуктыл,Коми,Северо-Западный,"63,844407","57,29984"
181,Выборг,Ленинградская область,Северо-Западный,"60,710232","28,749404"
182,Выкса,Нижегородская область,Приволжский,"55,320683","42,167961"
183,Высоковск,Московская область,Центральный,"56,320243","36,551236"
184,Высоцк,Ленинградская область,Северо-Западный,"60,625264","28,568016"
185,Вытегра,Вологодская область,Северо-Западный,"61,006355","36,449511"
186,ВышнийВолочёк,Тверская область,Центральный,"61,006355","36,449511"
190,ВятскиеПоляны,Кировская область,Приволжский,"55,205944","34,298037"
201,Голицыно,Московская область,Центральный,"55,615944","36,987117"
213,Грозный,Чечня,Северо-Кавказский,"43,317776","45,694909"
226,Гусь-Хрустальный,Владимирская область,Центральный,"55,619818","40,657902"
249,Долгопрудный,Московская область,Центральный,"55,933564","37,514104"
291,Заозёрный,Красноярский край,Сибирский,"55,961818","94,709228"
294,Заполярный,Мурманская область,Северо-Западный,"69,426103","30,820739"
296,Заречный,Пензенская область,Приволжский,"53,19611","45,169071"
297,Заречный,Свердловская область,Уральский,"53,19611","45,169071"
310,Злынка,Брянская область,Центральный,"52,427384","31,737075"
322,Изобильный,Ставропольский край,Северо-Кавказский,"45,368536","41,708644"
354,Камызяк,Астраханская область,Южный,"46,110571","48,073235"
355,Камышин,Волгоградская область,Южный,"50,083698","45,407367"
356,Камышлов,Свердловская область,Уральский,"56,846578","62,712288"
369,Карталы,Челябинская область,Уральский,"53,053681","60,647753"
378,Кедровый,Томская область,Сибирский,"57,560963","79,566965"
386,Кимры,Тверская область,Центральный,"56,873338","37,355678"
406,Клинцы,Брянская область,Центральный,"52,753143","32,233852"
409,Ковылкино,Мордовия,Приволжский,"54,039201","43,919056"
410,Когалым,Ханты-Мансийский АО — Югра,Уральский,"62,264069","74,482761"
462,КрасныйКут,Саратовская область,Приволжский,"56,010563","92,852572"
463,КрасныйСулин,Ростовская область,Южный,"56,010563","92,852572"
464,КрасныйХолм,Тверская область,Центральный,"56,010563","92,852572"
467,Крымск,Краснодарский край,Южный,"44,934986","37,986196"
470,Кувандык,Оренбургская область,Приволжский,"51,478483","57,361168"
473,Кудымкар,Пермский край,Приволжский,"59,014548","54,664183"
475,Куйбышев,Новосибирская область,Сибирский,"53,195538","50,101783"
487,Куртамыш,Курганская область,Уральский,"54,912459","64,433505"
492,Кызыл,Тыва,Сибирский,"51,719086","94,437757"
493,Кыштым,Челябинская область,Уральский,"55,707877","60,538949"
496,Лабытнанги,Ямало-Ненецкий АО,Уральский,"66,660595","66,383963"
511,Ливны,Орловская область,Центральный,"52,426549","37,608041"
523,Луховицы,Московская область,Центральный,"54,965217","39,025394"
524,Лысково,Нижегородская область,Приволжский,"56,021357","45,040962"
525,Лысьва,Пермский край,Приволжский,"58,100413","57,811655"
526,Лыткарино,Московская область,Центральный,"55,579297","37,908986"
529,Люберцы,Московская область,Центральный,"55,676494","37,898116"
543,Малмыж,Кировская область,Приволжский,"56,524461","50,678232"
546,Мамадыш,Татарстан,Приволжский,"55,717771","51,410224"
557,Медынь,Калужская область,Центральный,"54,968784","35,857701"
569,МинеральныеВоды,Ставропольский край,Северо-Кавказский,"48,92173","40,394849"
572,Мирный,Якутия,Дальневосточный,"62,541028","113,978692"
573,Мирный,Архангельская область,Северо-Западный,"62,541028","113,978692"
593,Мыски,Кемеровская область,Сибирский,"53,712509","87,805747"
594,Мытищи,Московская область,Центральный,"55,910483","37,736402"
595,Мышкин,Ярославская область,Центральный,"57,787134","38,455332"
596,НабережныеЧелны,Татарстан,Приволжский,"57,787134","38,455332"
599,Надым,Ямало-Ненецкий АО,Уральский,"65,535924","72,531341"
602,Называевск,Омская область,Сибирский,"55,567066","71,348718"
611,Невинномысск,Ставропольский край,Северо-Кавказский,"44,638287","41,936061"
645,Новозыбков,Брянская область,Центральный,"52,536717","31,933222"
648,Новокуйбышевск,Самарская область,Приволжский,"53,099469","49,947767"
665,НовыйОскол,Белгородская область,Центральный,"47,757738","39,93643"
666,НовыйУренгой,Ямало-Ненецкий АО,Уральский,"47,757738","39,93643"
672,Нытва,Пермский край,Приволжский,"57,939127","55,328622"
684,Озёры,Московская область,Центральный,"54,854087","38,559824"
706,Отрадный,Самарская область,Приволжский,"51,691727","39,21793"
731,Печоры,Псковская область,Северо-Западный,"57,813934","27,609064"
745,Полысаево,Кемеровская область,Сибирский,"54,605443","86,280901"
746,ПолярныеЗори,Мурманская область,Северо-Западный,"54,605443","86,280901"
747,Полярный,Мурманская область,Северо-Западный,"69,198909","33,451033"
763,Прохладный,Кабардино-Балкария,Северо-Кавказский,"43,758962","44,010083"
771,Пыталово,Псковская область,Северо-Западный,"57,063925","27,92396"
772,Пыть-Ях,Ханты-Мансийский АО — Югра,Уральский,"60,758589","72,836526"
774,Радужный,Владимирская область,Центральный,"62,134265","77,458439"
775,Радужный,Ханты-Мансийский АО — Югра,Уральский,"62,134265","77,458439"
794,Рыбинск,Ярославская область,Центральный,"58,048454","38,858406"
795,Рыбное,Рязанская область,Центральный,"54,730806","39,505463"
796,Рыльск,Курская область,Центральный,"51,571431","34,683288"
816,Светлый,Калининградская область,Северо-Западный,"54,67737","20,135719"
819,Свободный,Амурская область,Дальневосточный,"51,375889","128,134147"
847,Сланцы,Ленинградская область,Северо-Западный,"59,11779","28,088136"
863,Сольвычегодск,Архангельская область,Северо-Западный,"61,330589","46,928089"
864,Сольцы,Новгородская область,Северо-Западный,"58,120168","30,309355"
871,СосновыйБор,Ленинградская область,Северо-Западный,"56,120211","93,335434"
879,Среднеколымск,Якутия,Дальневосточный,"67,458183","153,707009"
887,СтарыйКрымОспаривается,Крым,Южный,"52,585277","32,760346"
888,СтарыйОскол,Белгородская область,Центральный,"52,585277","32,760346"
906,Сызрань,Самарская область,Приволжский,"53,155782","48,474485"
907,Сыктывкар,Коми,Северо-Западный,"61,668793","50,836399"
908,Сысерть,Свердловская область,Уральский,"56,502281","60,810025"
909,Сычёвка,Смоленская область,Центральный,"55,83161","34,277834"
943,Трёхгорный,Челябинская область,Уральский,"54,817842","58,446423"
947,Туймазы,Башкортостан,Приволжский,"54,599988","53,695008"
952,Тында,Амурская область,Дальневосточный,"55,154656","124,729236"
953,Тырныауз,Кабардино-Балкария,Северо-Кавказский,"43,398084","42,921423"
959,Удачный,Якутия,Дальневосточный,"66,406995","112,306362"
984,Учалы,Башкортостан,Приволжский,"54,319176","59,378631"
993,Хадыженск,Краснодарский край,Южный,"44,422804","39,537326"
994,Ханты-Мансийск,Ханты-Мансийский АО — Югра,Уральский,"61,00318","69,018902"
998,Хвалынск,Саратовская область,Приволжский,"52,495501","48,105772"
1009,Чаплыгин,Липецкая область,Центральный,"53,240555","39,96699"
1011,Чебоксары,Чувашия,Приволжский,"56,146277","47,251079"
1015,Чердынь,Пермский край,Приволжский,"60,402836","56,479543"
1030,Чулым,Новосибирская область,Сибирский,"55,091258","80,963288"
1036,Шарыпово,Красноярский край,Сибирский,"55,539064","89,180151"
1038,Шахты,Ростовская область,Южный,"47,709601","40,215797"
1045,Шиханы,Саратовская область,Приволжский,"52,114774","47,202327"
1053,Щигры,Курская область,Центральный,"51,87619","36,912"
1080,Ясный,Оренбургская область,Приволжский,"51,036877","59,874349"
